date,open,high,low,close,value
2017/2/2,990.00 ,1013.52 ,983.22 ,1011.80 ,16331615570 
2017/2/3,1011.46 ,1033.87 ,1008.79 ,1029.91 ,16625849489 
2017/2/4,1031.33 ,1045.90 ,1015.16 ,1042.90 ,16837411920 
2017/2/5,1043.52 ,1043.63 ,1022.37 ,1027.34 ,16588240157 
2017/2/6,1028.40 ,1044.64 ,1028.16 ,1038.15 ,16764422010 
2017/2/7,1040.14 ,1061.93 ,1040.14 ,1061.35 ,17141080574 
2017/2/8,1062.32 ,1078.97 ,1037.49 ,1063.07 ,17170799127 
2017/2/9,1064.70 ,1088.99 ,953.34 ,994.38 ,16063448932 
2017/2/10,995.63 ,998.91 ,946.69 ,988.67 ,15973053725 
2017/2/11,988.90 ,1009.29 ,982.83 ,1004.45 ,16229677099 
2017/2/12,1003.52 ,1004.76 ,996.92 ,999.18 ,16146290349 
2017/2/13,998.89 ,1002.10 ,976.00 ,990.64 ,16010322103 
2017/2/14,991.73 ,1011.51 ,986.47 ,1004.55 ,16237219721 
2017/2/15,1006.21 ,1008.84 ,1001.58 ,1007.48 ,16286329282 
2017/2/16,1007.65 ,1033.37 ,1007.65 ,1027.44 ,16610905026 
2017/2/17,1026.12 ,1053.17 ,1025.64 ,1046.21 ,16916338976 
2017/2/18,1049.21 ,1061.10 ,1046.96 ,1054.42 ,17051064834 
2017/2/19,1054.76 ,1056.81 ,1043.46 ,1047.87 ,16946913346 
2017/2/20,1048.69 ,1080.49 ,1041.69 ,1079.98 ,17468244508 
2017/2/21,1079.28 ,1117.25 ,1076.93 ,1115.30 ,18041455273 
2017/2/22,1114.80 ,1125.39 ,1100.55 ,1117.44 ,18077985665 
2017/2/23,1117.27 ,1176.62 ,1116.96 ,1166.72 ,18877442096 
2017/2/24,1172.71 ,1200.39 ,1131.96 ,1173.68 ,18992415818 
2017/2/25,1170.41 ,1174.85 ,1124.59 ,1143.84 ,18511906560 
2017/2/26,1144.27 ,1167.47 ,1130.20 ,1165.20 ,18860247630 
2017/2/27,1163.78 ,1181.98 ,1163.38 ,1179.97 ,19101427518 
2017/2/28,1180.72 ,1193.25 ,1171.82 ,1179.97 ,19103684801 
2017/3/1,1180.04 ,1222.50 ,1179.69 ,1222.50 ,19794459608 
2017/3/2,1224.68 ,1262.13 ,1215.62 ,1251.01 ,20258543188 
2017/3/3,1250.71 ,1280.31 ,1250.71 ,1274.99 ,20649259919 
2017/3/4,1277.43 ,1279.40 ,1230.51 ,1255.15 ,20329978338 
2017/3/5,1254.29 ,1267.29 ,1238.06 ,1267.12 ,20526235270 
2017/3/6,1267.47 ,1276.00 ,1264.60 ,1272.83 ,20620991547 
2017/3/7,1273.21 ,1275.55 ,1204.80 ,1223.54 ,19824773912 
2017/3/8,1223.23 ,1232.16 ,1148.08 ,1150.00 ,18635275050 
2017/3/9,1150.35 ,1197.46 ,1141.23 ,1188.49 ,19261188310 
2017/3/10,1189.36 ,1270.47 ,1077.25 ,1116.72 ,18100188612 
2017/3/11,1116.32 ,1193.83 ,1116.32 ,1175.83 ,19060468862 
2017/3/12,1176.62 ,1226.98 ,1175.36 ,1221.38 ,19801195767 
2017/3/13,1221.78 ,1237.37 ,1217.03 ,1231.92 ,19974334865 
2017/3/14,1232.16 ,1244.81 ,1220.72 ,1240.00 ,20107761880 
2017/3/15,1240.16 ,1251.61 ,1239.75 ,1249.61 ,20265831337 
2017/3/16,1251.33 ,1257.98 ,1152.44 ,1187.81 ,19265847025 
2017/3/17,1180.16 ,1180.16 ,1099.57 ,1100.23 ,17847435957 
2017/3/18,1099.69 ,1114.07 ,957.66 ,973.82 ,15798760668 
2017/3/19,976.73 ,1069.91 ,976.73 ,1036.74 ,16821676707 
2017/3/20,1037.24 ,1063.03 ,1036.68 ,1054.23 ,17107266418 
2017/3/21,1055.36 ,1122.43 ,1055.36 ,1120.54 ,18185299687 
2017/3/22,1120.65 ,1120.65 ,1014.21 ,1049.14 ,17028630158 
2017/3/23,1050.05 ,1058.01 ,1028.93 ,1038.59 ,16859314109 
2017/3/24,1038.45 ,1040.47 ,934.36 ,937.52 ,15220718764 
2017/3/25,936.54 ,975.76 ,903.71 ,972.78 ,15794781102 
2017/3/26,974.02 ,1007.96 ,954.19 ,966.72 ,15698465531 
2017/3/27,972.05 ,1046.40 ,971.98 ,1045.77 ,16983801541 
2017/3/28,1044.58 ,1064.65 ,1027.73 ,1047.15 ,17008241726 
2017/3/29,1046.08 ,1055.13 ,1015.88 ,1039.97 ,16893415156 
2017/3/30,1042.21 ,1049.29 ,1020.04 ,1026.43 ,16675587066 
2017/3/31,1026.64 ,1074.92 ,1026.64 ,1071.79 ,17414322808 
2017/4/1,1071.71 ,1091.72 ,1061.09 ,1080.50 ,17557597716 
2017/4/2,1080.61 ,1107.59 ,1075.45 ,1102.17 ,17911915755 
2017/4/3,1102.95 ,1151.74 ,1102.95 ,1143.81 ,18591158323 
2017/4/4,1145.52 ,1156.44 ,1120.52 ,1133.25 ,18421262063 
2017/4/5,1134.14 ,1135.09 ,1113.63 ,1124.78 ,18285857775 
2017/4/6,1125.81 ,1188.37 ,1125.81 ,1182.68 ,19229356147 
2017/4/7,1178.94 ,1186.58 ,1163.39 ,1176.90 ,19137747435 
2017/4/8,1172.65 ,1184.98 ,1162.58 ,1175.95 ,19124327856 
2017/4/9,1176.57 ,1197.21 ,1171.86 ,1187.87 ,19320511927 
2017/4/10,1187.30 ,1190.34 ,1179.04 ,1187.13 ,19310642460 
2017/4/11,1187.46 ,1208.07 ,1187.46 ,1205.01 ,19604036563 
2017/4/12,1204.81 ,1207.14 ,1196.76 ,1200.37 ,19530680104 
2017/4/13,1201.02 ,1205.89 ,1156.44 ,1169.28 ,19026699552 
2017/4/14,1170.33 ,1190.80 ,1159.79 ,1167.54 ,19000400018 
2017/4/15,1167.30 ,1188.00 ,1164.96 ,1172.52 ,19083656460 
2017/4/16,1172.61 ,1187.22 ,1172.61 ,1182.94 ,19255408766 
2017/4/17,1183.25 ,1194.90 ,1172.65 ,1193.91 ,19436033390 
2017/4/18,1193.77 ,1217.57 ,1193.77 ,1211.67 ,19727334977 
2017/4/19,1212.13 ,1215.51 ,1205.08 ,1210.29 ,19707045565 
2017/4/20,1211.08 ,1240.79 ,1208.41 ,1229.08 ,20015137622 
2017/4/21,1229.42 ,1235.94 ,1215.56 ,1222.05 ,19903192286 
2017/4/22,1222.71 ,1235.56 ,1208.47 ,1231.71 ,20062753908 
2017/4/23,1231.92 ,1232.20 ,1203.94 ,1207.21 ,19665994145 
2017/4/24,1209.63 ,1250.94 ,1209.63 ,1250.15 ,20367443800 
2017/4/25,1250.45 ,1267.58 ,1249.97 ,1265.49 ,20619704237 
2017/4/26,1265.99 ,1294.83 ,1265.93 ,1281.08 ,20876159410 
